# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
  34656: yukarı     (99.7%)
  34784: yukarı     (99.7%)
  34912: yukarı     (99.1%)
  35040: yukarı     (99.1%)
  35168: yukarı     (99.1%)
  35296: yukarı     (99.1%)
  35424: yukarı     (99.8%)
  35552: yukarı     (99.8%)
  35680: yukarı     (99.8%)
  35808: yukarı     (99.8%)
  35936: yukarı     (100.0%)
  36064: yukarı     (100.0%)
  36192: yukarı     (100.0%)
  36320: yukarı     (100.0%)
  36448: yukarı     (99.9%)
  36576: yukarı     (99.9%)
  36704: yukarı     (99.9%)
  36832: yukarı     (99.9%)
  36960: yukarı     (99.4%)
  37088: yukarı     (99.4%)
  37216: yukarı     (99.4%)
  37344: yukarı     (99.4%)
  37472: yukarı     (98.9%)
  37600: yukarı     (98.9%)
  37728: yukarı     (98.9%)
  37856: yukarı     (98.9%)
  37984: yukarı     (99.9%)
  38112: yukarı     (99.9%)
  38240: yukarı     (99.9%)
  38368: yukarı     (99.9%)
  38496: yukarı     (99.9%)
  38624: yukarı     (99.9%)
  38752: yukarı     (99.9%)
  38880: yukarı     (99.9%)
  39008: yukarı     (99.9%)
  39136: yukarı     (99.9%)
  39264: yukarı     (99.9%)
  39392: yukarı     (99.9%)
  39520: yukarı     (99.9%)
  39648: yukarı     (99.9%)
  39776: yukarı     (99.9%)
  39904: yukarı     (99.9%)
  40032: yukarı     (99.3%)
  40160: yukarı     (99.3%)
  40288: yukarı     (99.3%)
  40416: yukarı     (99.3%)
  40544: yukarı     (100.0%)
  40672: yukarı     (100.0%)
  40800: yukarı     (100.0%)
  40928: yukarı     (100.0%)
  41056: yukarı     (98.1%)
  41184: yukarı     (98.1%)
  41312: yukarı     (98.1%)
  41440: yukarı     (98.1%)
  41568: yukarı     (100.0%)
  41696: yukarı     (100.0%)
  41824: yukarı     (100.0%)
  41952: yukarı     (100.0%)
  42080: yukarı     (100.0%)
  42208: yukarı     (100.0%)
  42336: yukarı     (100.0%)
  42464: yukarı     (100.0%)
  42592: yukarı     (99.8%)
  42720: yukarı     (99.8%)
  42848: yukarı     (99.8%)
  42976: yukarı     (99.8%)
  43104: yukarı     (100.0%)
  43232: yukarı     (100.0%)
  43360: yukarı     (100.0%)
  43488: yukarı     (100.0%)
  43616: yukarı     (99.8%)
  43744: yukarı     (99.8%)
  43872: yukarı     (99.8%)
  44000: yukarı     (99.8%)
  44128: yukarı     (99.7%)
  44256: yukarı     (99.7%)
  44384: yukarı     (99.7%)
  44512: yukarı     (99.7%)
  44640: yukarı     (99.5%)
  44768: yukarı     (99.5%)
  44896: yukarı     (99.5%)
  45024: yukarı     (99.5%)
  45152: yukarı     (99.9%)
  45280: yukarı     (99.9%)
  45408: yukarı     (99.9%)
  45536: yukarı     (99.9%)
  45664: yukarı     (95.6%)
  45792: yukarı     (95.6%)
  45920: yukarı     (95.6%)
  46048: yukarı     (95.6%)
  46176: yukarı     (99.8%)
  46304: yukarı     (99.8%)
  46432: yukarı     (99.8%)
  46560: yukarı     (99.8%)
  46688: yukarı     (100.0%)
  46816: yukarı     (100.0%)
  46944: yukarı     (100.0%)
  47072: yukarı     (100.0%)
  47200: yukarı     (85.8%)
  47328: yukarı     (85.8%)
  47456: yukarı     (85.8%)
  47584: yukarı     (85.8%)
  47712: yukarı     (100.0%)
  47840: yukarı     (100.0%)
  47968: yukarı     (100.0%)
  48096: yukarı     (100.0%)
  48224: yukarı     (100.0%)
  48352: yukarı     (100.0%)
